ANIO FISCAL;ACTIVIDAD ECONÓMICA;TOTAL GASTOS (798);TOTAL COSTOS (797);TOTAL IMPUESTO CAUSADO (839)
2006;G463012;165503.64;539443.86;834619.21
2006;G463013;NA;NA;0
2006;G463014;54206.93;3300456.06;131757.72
2006;G463021;545265.59;456128.58;884527.07
2006;G463022;2681.51;51035.67;111970.62
2006;G463023;35370.6;137685.64;16098.32
2006;G463031;10795.24;0;115044.66
2006;G463032;20408.43;1209586.22;294707.47
2006;G463033;0;0;42613.75
2006;G463091;0;0;2696.48
2006;G463092;0;16592.88;1881712
2006;G463093;NA;NA;45257.22
2006;G463094;NA;NA;1462561.66
2006;G463095;646491.65;7673818.97;903387.98
2006;G463096;NA;NA;193393.38
2006;G463097;NA;NA;77643.94
2006;G463099;NA;NA;272290.77
2006;G464111;372539.55;2923810.76;807465.74
2006;G464112;NA;NA;4162.71
2006;G464113;NA;NA;4685.25
2006;G464121;569490.48;2754050.27;748122.48
2006;G464122;NA;NA;14004.67
2006;G464123;NA;NA;1255.35
2006;G464124;447663.2;3972940.27;1233077.24
2006;G464131;109005.19;744872.54;168546.45
2006;G464132;0;0;54211.79
2006;G464133;NA;NA;31084.37
2006;G464911;4248374.32;22957837.37;2244582.51
2006;G464912;850601.44;847111.65;193293.18
2006;G464913;0;77.63;268980.42
2006;G464914;0;0;424567.78
2006;G464921;2318.61;13112.5;2294800.93
2006;G464922;8814675.23;13215825.74;7534023.07
2006;G464923;NA;NA;41583.85
2006;G464924;923539.33;1605530.28;1456250.49
2006;G464991;202733.43;792758.89;54865.58
2006;G464992;21008.65;26164.85;1462160.27
2006;G464993;1564274.53;3848853.48;1677948.47
2006;G464995;474283.56;4043703.89;439711.9
2006;G464996;79172.39;614699.9;2893491.62
2006;G464997;0;0;79396.27
2006;G464998;NA;NA;855.91
2006;G464999;0;0;58198.52
2006;G465101;1243976.89;5107909.79;3471546.99
2006;G465102;NA;NA;12074.55
2006;G465201;NA;NA;23.9
2006;G465202;5009131.3;25111666.58;3086624.04
2006;G465301;127417.42;679135.98;572300.54
2006;G465911;NA;NA;6713.53
2006;G465912;NA;NA;7696.42
2006;G465921;0;0;126852.88
2006;G465922;460123.93;1618360.54;2159392.13
2006;G465923;641369.05;1684813.3;604071.89
2006;G465924;NA;NA;46497.72
2006;G465991;NA;NA;252182.64
2006;G465992;NA;NA;24481.33
2006;G465993;902896.65;4829167.23;3465388.12
2006;G465994;301186.8;2026352.93;1215928.62
2006;G465995;56468.57;370964.2;480301.46
2006;G465996;9457.77;44362.01;165571.17
2006;G465997;NA;NA;5480.84
2006;G465998;0;0;412497.58
2006;G465999;NA;NA;146221.74
2006;G466101;0;0;1558568.05
2006;G466103;5056991.82;116403751.75;9004790.28
2006;G466104;NA;NA;95.03
2006;G466201;0;0;535990.89
2006;G466202;91097.81;1272037.05;18531.46
2006;G466203;0;0;30184.44
2006;G466204;9664187.83;44333821.4;782318.73
2006;G466311;26269.58;658213.85;769737.43
2006;G466312;62960.59;243670.61;395074.96
2006;G466313;1704010.86;7746388.95;2609632.75
2006;G466314;NA;NA;12275.57
2006;G466315;787997.12;2281419;83423.98
2006;G466321;107409.58;5860243.74;3076852.11
2006;G466322;NA;NA;580.34
