Fecha "Riesgo País"
2011-10-03T00:00:00Z 876
2011-10-04T00:00:00Z 873
2011-10-05T00:00:00Z 899
2011-10-06T00:00:00Z 896
2011-10-07T00:00:00Z 891
2011-10-08T00:00:00Z 891
2011-10-09T00:00:00Z 891
2011-10-10T00:00:00Z 891
2011-10-11T00:00:00Z 885
2011-10-12T00:00:00Z 882
2011-10-13T00:00:00Z 889
2011-10-14T00:00:00Z 889
2011-10-15T00:00:00Z 889
2011-10-16T00:00:00Z 889
2011-10-17T00:00:00Z 892
2011-10-18T00:00:00Z 895
2011-10-19T00:00:00Z 894
2011-10-20T00:00:00Z 894
2011-10-21T00:00:00Z 894
2011-10-22T00:00:00Z 894
2011-10-23T00:00:00Z 894
2011-10-24T00:00:00Z 892
2011-10-25T00:00:00Z 899
2011-10-26T00:00:00Z 894
2011-10-27T00:00:00Z 870
2011-10-28T00:00:00Z 876
2011-10-29T00:00:00Z 876
2011-10-30T00:00:00Z 876
2011-10-31T00:00:00Z 886
2011-11-01T00:00:00Z 891
2011-11-02T00:00:00Z 893
2011-11-03T00:00:00Z 892
2011-11-04T00:00:00Z 894
2011-11-05T00:00:00Z 894
2011-11-06T00:00:00Z 894
2011-11-07T00:00:00Z 895
2011-11-08T00:00:00Z 847
2011-11-09T00:00:00Z 865
2011-11-10T00:00:00Z 862
2011-11-11T00:00:00Z 862
2011-11-12T00:00:00Z 862
2011-11-13T00:00:00Z 862
2011-11-14T00:00:00Z 863
2011-11-15T00:00:00Z 862
2011-11-16T00:00:00Z 862
2011-11-17T00:00:00Z 864
2011-11-18T00:00:00Z 860
2011-11-19T00:00:00Z 860
2011-11-20T00:00:00Z 860
2011-11-21T00:00:00Z 861
2011-11-22T00:00:00Z 863
2011-11-23T00:00:00Z 863
2011-11-24T00:00:00Z 863
2011-11-25T00:00:00Z 863
2011-11-26T00:00:00Z 863
2011-11-27T00:00:00Z 863
2011-11-28T00:00:00Z 862
2011-11-29T00:00:00Z 861
2011-11-30T00:00:00Z 838
2011-12-01T00:00:00Z 837
2011-12-02T00:00:00Z 840
2011-12-03T00:00:00Z 840
2011-12-04T00:00:00Z 840
2011-12-05T00:00:00Z 840
2011-12-06T00:00:00Z 839
2011-12-07T00:00:00Z 844
2011-12-08T00:00:00Z 847
2011-12-09T00:00:00Z 844
2011-12-10T00:00:00Z 844
2011-12-11T00:00:00Z 844
2011-12-12T00:00:00Z 846
2011-12-13T00:00:00Z 846
2011-12-14T00:00:00Z 845
2011-12-15T00:00:00Z 845
2011-12-16T00:00:00Z 848
